,SPY:Volume,SPY:Price,NAS:Volume,NAS:Price,DAX:Volume,DAX:Price,NIK:Volume,NIK:Price,GLF:Price,GLF:Volume,OLF:Price,OLF:Volume
2010-01-04,3991400000.0,1132.98999,1931380000.0,2308.419922,24260800.0,6048.299805,104400.0,10654.790039,1118.3,64594.0,81.51,263542.0
2010-01-05,2491020000.0,1136.52002,2367860000.0,2308.709961,27329600.0,6031.859863,166200.0,10681.830078,,,81.77,258887.0
2010-01-06,4972660000.0,1137.140015,2253340000.0,2301.090088,24605300.0,6034.330078,181800.0,10731.450195,1136.5,156414.0,83.18,370059.0
2010-01-07,5270680000.0,1141.689941,2270050000.0,2300.050049,30059600.0,6019.359863,182600.0,10681.660156,1133.7,176903.0,82.66,246632.0
2010-01-08,4389590000.0,1144.97998,2145390000.0,2317.169922,31735200.0,6037.609863,211800.0,10798.320312,1138.9,121150.0,82.75,310377.0
2010-01-11,4255780000.0,1146.97998,2077890000.0,2312.409912,27162500.0,6040.5,,,1151.4,212621.0,82.52,296304.0
2010-01-12,4716160000.0,1136.219971,2368320000.0,2282.310059,35242500.0,5943.0,192800.0,10879.139648,1129.4,173768.0,80.79,333866.0
2010-01-13,4170360000.0,1145.680054,2318350000.0,2307.899902,30161300.0,5963.140137,250000.0,10735.030273,1136.8,233123.0,79.65,401627.0
2010-01-14,3915200000.0,1148.459961,2254170000.0,2316.73999,33479000.0,5988.879883,267400.0,10907.679688,1143.0,217628.0,79.39,401627.0
2010-01-15,4758730000.0,1136.030029,2637770000.0,2287.98999,46886700.0,5875.970215,253000.0,10982.099609,1130.5,165713.0,78.0,200555.0
2010-01-19,4724830000.0,1150.22998,2045290000.0,2320.399902,29504500.0,5976.47998,174600.0,10764.900391,1140.0,144699.0,79.02,186882.0
2010-01-20,4810560000.0,1138.040039,2351890000.0,2291.25,32339400.0,5851.529785,146400.0,10737.519531,1112.6,188027.0,77.62,186882.0
2010-01-21,6874289600.0,1116.47998,2877800000.0,2265.699951,39063300.0,5746.970215,176800.0,10868.410156,1103.2,232575.0,76.08,327417.0
